00   0 34475762 33555896 35395628 12.7 12.4 13.1 13466544 12979586 13953502 18.9 18.2 19.6  8922935  8511476  9334394 17.5 16.7 18.3  38885  38507  39263 4038584 3752962 4324206 20.8 19.4 22.3 United States                                 US
01  59     5107     4051     6162 17.0 13.5 20.6     1826     1408     2245 25.6 19.7 31.4     1209      895     1523 23.2 17.2 29.2  27971  24899  31027                                        Franklin County                               AL
01  61     4714     3731     5697 18.6 14.7 22.5     1647     1253     2040 27.2 20.7 33.7     1137      832     1442 25.5 18.6 32.3  27049  23970  30111                                        Geneva County                                 AL
01  63     3204     2514     3893 32.7 25.6 39.7     1230      931     1528 41.2 31.2 51.2      930      679     1181 40.5 29.6 51.4  19050  15926  22157                                        Greene County                                 AL
01  65     4267     3375     5159 25.4 20.1 30.7     1684     1294     2074 33.0 25.4 40.7     1222      904     1540 32.1 23.8 40.5  21976  18862  25072                                        Hale County                                   AL
01  67     2747     2166     3328 17.3 13.6 20.9     1011      770     1251 26.0 19.8 32.1      738      545      931 25.1 18.5 31.7  29084  26039  32111                                        Henry County                                  AL
01  69    14041    11152    16930 16.2 12.9 19.5     5430     4216     6645 23.7 18.4 29.0     3621     2704     4538 21.8 16.3 27.3  33234  30171  36280                                        Houston County                                AL
01  71     7519     5976     9062 14.4 11.4 17.3     2654     2054     3253 21.1 16.4 25.9     1796     1337     2255 19.3 14.3 24.2  32272  29230  35297                                        Jackson County                                AL
01  73    92575    73867   111283 14.1 11.3 17.0    34967    26939    42995 22.6 17.4 27.8    19925    14790    25060 17.9 13.3 22.5  36431  33777  39071                                        Jefferson County                              AL
01  75     2797     2213     3381 17.3 13.7 20.9      962      733     1192 24.9 18.9 30.8      689      505      873 24.0 17.6 30.5  28262  25191  31317                                        Lamar County                                  AL
01  77    11403     9107    13699 13.5 10.8 16.2     3966     3086     4846 20.6 16.0 25.2     2601     1947     3255 18.6 13.9 23.3  33447  30525  36353                                        Lauderdale County                             AL
01  79     5189     4130     6247 15.2 12.1 18.3     1939     1499     2379 22.5 17.4 27.6     1322      984     1660 21.5 16.0 26.9  34180  31138  37206                                        Lawrence County                               AL
01  81    14540    11444    17637 14.6 11.5 17.8     4602     3555     5649 20.9 16.2 25.7     2837     2106     3568 18.1 13.5 22.8  33449  30301  36580                                        Lee County                                    AL
01  83     8046     6380     9712 13.0 10.3 15.7     2983     2281     3686 19.5 14.9 24.1     1903     1403     2403 17.2 12.7 21.8  38262  35199  41308                                        Limestone County                              AL
01  85     3842     3021     4663 28.9 22.7 35.1     1534     1161     1907 35.4 26.8 44.0     1196      873     1519 37.6 27.4 47.7  21095  17889  24283                                        Lowndes County                                AL
01  87     6200     4843     7557 29.6 23.1 36.1     2149     1627     2672 39.2 29.7 48.7     1556     1138     1974 39.8 29.1 50.5  22410  19315  25488                                        Macon County                                  AL
01  89    29877    23805    35949 10.7  8.5 12.9    11405     8830    13980 17.6 13.6 21.6     6755     5030     8480 15.0 11.2 18.8  45339  42422  48240                                        Madison County                                AL
01  91     5236     4156     6316 22.5 17.8 27.1     2034     1563     2504 30.7 23.6 37.8     1494     1108     1880 30.3 22.5 38.1  26846  23893  29783                                        Marengo County                                AL
